departamento,codigo_via,kilometro,modalidad,hora_siniestro,mes,dia_semana,es_noche,fatal
ANCASH,PE-1N,337.0,DESPISTE,13.0,3.0,MONDAY,0,0
MADRE DE DIOS,PE-30C,375.0,CHOQUE,1.0,3.0,MONDAY,0,0
HUANUCO,PE-5N,462.0,CHOQUE,15.0,3.0,MONDAY,0,0
AREQUIPA,PE-1S,733.0,CHOQUE,16.0,3.0,MONDAY,0,1
AREQUIPA,PE-1S,859.0,DESPISTE,6.0,3.0,MONDAY,0,0
CUSCO,PE-3S,999.0,CHOQUE,23.0,3.0,MONDAY,1,0
PUNO,PE-3S,1355.0,CHOQUE,21.0,3.0,MONDAY,1,0
ANCASH,PE-16,4.0,CHOQUE,13.0,3.0,TUESDAY,0,0
LAMBAYEQUE,PE-5N,17.0,CHOQUE,23.0,3.0,TUESDAY,1,0
ANCASH,AN-107,74.0,DESPISTE,10.0,3.0,TUESDAY,0,0
AREQUIPA,PE-34A,96.0,CHOQUE,15.0,3.0,TUESDAY,0,0
ICA,PE-28A,163.0,DESPISTE,9.0,3.0,TUESDAY,0,1
JUNIN,PE-3S,25.0,DESPISTE,15.0,3.0,WEDNESDAY,0,0
AREQUIPA,PE-34A,87.0,DESPISTE,15.0,3.0,WEDNESDAY,0,0
AYACUCHO,PE-3N,162.0,CHOQUE,17.0,3.0,WEDNESDAY,0,0
AYACUCHO,PE-3S,416.0,DESPISTE,9.0,3.0,WEDNESDAY,0,0
SAN MARTIN,PE-5N,575.0,DESPISTE,15.0,3.0,WEDNESDAY,0,0
LIMA,PE-24,22.0,DESPISTE,19.0,3.0,THURSDAY,1,0
JUNIN,PE-3N,56.0,DESPISTE,13.0,3.0,THURSDAY,0,0
TACNA,PE-1SD,9.0,ESPECIAL,17.0,3.0,FRIDAY,0,1
AREQUIPA,PE-34A,87.0,DESPISTE,18.0,3.0,FRIDAY,1,0
PASCO,PE-3N,143.0,CHOQUE,10.0,3.0,FRIDAY,0,0
LIMA,PE-1N,154.0,DESPISTE,0.0,3.0,FRIDAY,0,0
PUNO,PE-3S,1400.0,CHOQUE,18.0,3.0,FRIDAY,1,1
ICA,PE-1S,203.0,CHOQUE,7.0,3.0,SATURDAY,0,0
TACNA,PE-36A,23.0,DESPISTE,10.0,3.0,SUNDAY,0,0
ANCASH,PE-1N,279.0,DESPISTE,15.0,3.0,SUNDAY,0,0
HUANUCO,PE-5N,478.0,DESPISTE,10.0,3.0,SUNDAY,0,0
CUSCO,PE-34G,29.0,DESPISTE,0.0,3.0,MONDAY,0,0
HUANCAVELICA,PE-28A,95.0,DESPISTE,4.0,3.0,MONDAY,0,0
LIMA,PE-1S,126.0,ATROPELLO,6.0,3.0,MONDAY,0,1
AREQUIPA,PE-1S,863.0,DESPISTE,7.0,3.0,MONDAY,0,0
LIMA,PE-1S,102.0,DESPISTE,6.0,3.0,TUESDAY,0,0
LIMA,PE-1N,202.0,ESPECIAL,22.0,3.0,TUESDAY,1,0
ANCASH,PE-1N,263.0,DESPISTE,6.0,3.0,TUESDAY,0,0
AREQUIPA,PE-1S,686.0,DESPISTE,4.0,3.0,TUESDAY,0,0
LA LIBERTAD,PE-1N,698.0,CHOQUE,19.0,3.0,TUESDAY,1,0
LIMA,PE-22,107.0,DESPISTE,11.0,3.0,WEDNESDAY,0,0
LIMA,PE-1S,41.0,DESPISTE,6.0,3.0,THURSDAY,0,0
LIMA,PE-1S,98.0,DESPISTE,2.0,3.0,THURSDAY,0,0
LIMA,PE-1S,135.0,DESPISTE,6.0,3.0,THURSDAY,0,0
CUSCO,PE-28B,204.0,DESPISTE,20.0,3.0,THURSDAY,1,0
AREQUIPA,PE-1S,860.0,DESPISTE,11.0,3.0,THURSDAY,0,0
PUNO,PE-1S,1354.0,ESPECIAL,16.0,3.0,THURSDAY,0,0
LORETO,LO-103,3.0,DESPISTE,19.0,3.0,FRIDAY,1,0
TACNA,PE-36A,70.0,CHOQUE,9.0,3.0,FRIDAY,0,1
JUNIN,PE-3S,75.0,DESPISTE,0.0,3.0,FRIDAY,0,0
LIMA,PE-1S,90.0,CHOQUE,19.0,3.0,FRIDAY,1,0
HUANCAVELICA,PE-28A,168.0,DESPISTE,14.0,3.0,FRIDAY,0,0
PIURA,PE-1N,6.0,CHOQUE,16.0,3.0,SATURDAY,0,0
JUNIN,PE-22,29.0,DESPISTE,16.0,3.0,SATURDAY,0,0
PASCO,PE-3N,138.0,CHOQUE,18.0,3.0,SATURDAY,1,0
PUNO,PE-34A,227.0,DESPISTE,12.0,3.0,SATURDAY,0,1
LAMBAYEQUE,PE-1N,828.0,DESPISTE,0.0,3.0,SATURDAY,0,0
AREQUIPA,PE-1SE,24.0,DESPISTE,5.0,3.0,SUNDAY,0,0
HUANCAVELICA,PE-28A,144.0,DESPISTE,19.0,3.0,SUNDAY,1,0
JUNIN,PE-22,154.0,DESPISTE,22.0,3.0,SUNDAY,1,0
LIMA,PE-1N,199.0,DESPISTE,6.0,3.0,SUNDAY,0,0
APURIMAC,PE-3S,771.0,CHOQUE,8.0,3.0,SUNDAY,0,0
SAN MARTIN,PE-5N,810.0,DESPISTE,12.0,3.0,SUNDAY,0,0
PUNO,PE-3S,1308.0,CHOQUE,11.0,3.0,SUNDAY,0,0
CUSCO,PE-3SY,60.0,DESPISTE,18.0,3.0,MONDAY,1,0
APURIMAC,PE-30A,141.0,DESPISTE,8.0,3.0,MONDAY,0,0
LIMA,PE-1N,4.0,DESPISTE,18.0,3.0,TUESDAY,1,0
HUANUCO,PE-5N,521.0,DESPISTE,10.0,3.0,TUESDAY,0,0
ANCASH,PE-3N,589.0,CHOQUE,14.0,3.0,TUESDAY,0,0
LAMBAYEQUE,PE-1N,766.0,CHOQUE,21.0,3.0,TUESDAY,1,0
JUNIN,PE-3S,,DESPISTE,15.0,3.0,TUESDAY,0,0
JUNIN,PE-3N,8.0,DESPISTE,11.0,4.0,WEDNESDAY,0,0
JUNIN,PE-3N,27.0,DESPISTE,18.0,4.0,WEDNESDAY,1,0
LAMBAYEQUE,PE-5N,33.0,DESPISTE,10.0,4.0,WEDNESDAY,0,0
CAJAMARCA,PE-08B,37.0,DESPISTE,21.0,4.0,WEDNESDAY,1,0
JUNIN,PE-22,133.0,CHOQUE,17.0,4.0,WEDNESDAY,0,0
ANCASH,PE-1N,384.0,CHOQUE,6.0,4.0,WEDNESDAY,0,0
APURIMAC,PE-3S,752.0,DESPISTE,16.0,4.0,WEDNESDAY,0,1
TACNA,PE-1SD,69.0,DESPISTE,19.0,4.0,THURSDAY,1,0
JUNIN,PE-1N,126.0,DESPISTE,9.0,4.0,THURSDAY,0,0
LIMA,PE-1N,185.0,CHOQUE,7.0,4.0,THURSDAY,0,0
ANCASH,PE-1N,247.0,CHOQUE,22.0,4.0,THURSDAY,1,1
LIMA,PE-1N,64.0,CHOQUE,18.0,4.0,FRIDAY,1,0
TACNA,PE-1SD,197.0,DESPISTE,17.0,4.0,FRIDAY,0,0
ICA,PE-1S,225.0,DESPISTE,21.0,4.0,FRIDAY,1,0
ICA,PE-1S,225.0,DESPISTE,21.0,4.0,FRIDAY,1,0
PUNO,PE-36A,254.0,DESPISTE,12.0,4.0,FRIDAY,0,0
LAMBAYEQUE,PE-1N,844.0,DESPISTE,9.0,4.0,FRIDAY,0,0
AREQUIPA,PE-1S,908.0,DESPISTE,9.0,4.0,FRIDAY,0,0
LORETO,LO-103,57.0,DESPISTE,9.0,4.0,SATURDAY,0,0
APURIMAC,PE-3S,398.0,DESPISTE,18.0,4.0,SUNDAY,1,0
LORETO,LO-103,3.0,CHOQUE,7.0,4.0,MONDAY,0,0
PIURA,PE-1N,21.0,DESPISTE,1.0,4.0,MONDAY,0,0
ANCASH,AN-110,34.0,DESPISTE,18.0,4.0,MONDAY,1,0
JUNIN,PE-3SB,82.0,DESPISTE,17.0,4.0,MONDAY,0,0
LIMA,PE-1S,147.0,DESPISTE,14.0,4.0,MONDAY,0,0
PIURA,PE-1N,920.0,DESPISTE,16.0,4.0,MONDAY,0,0
MOQUEGUA,PE-1S,1121.0,DESPISTE,8.0,4.0,MONDAY,0,0
LIMA,PE-1N,123.0,CHOQUE,23.0,4.0,TUESDAY,1,0
ANCASH,PE-1N,264.0,DESPISTE,17.0,4.0,TUESDAY,0,0
LAMBAYEQUE,PE-1N,755.0,DESPISTE,16.0,4.0,TUESDAY,0,0
LIMA,PE-22,69.0,CHOQUE,14.0,4.0,WEDNESDAY,0,0
ICA,PE-1S,199.0,CHOQUE,16.0,4.0,WEDNESDAY,0,0
PUNO,PE-34H,,CHOQUE,12.0,4.0,WEDNESDAY,0,0
JUNIN,PE-3S,0.0,DESPISTE,13.0,4.0,THURSDAY,0,0
AYACUCHO,PE-3N,116.0,DESPISTE,10.0,4.0,THURSDAY,0,0
LIMA,PE-1S,20.0,DESPISTE,4.0,4.0,FRIDAY,0,0
LIMA,PE-1N,149.0,CHOQUE,23.0,4.0,FRIDAY,1,0
ICA,N.I.,253.0,DESPISTE,6.0,4.0,FRIDAY,0,0
ANCASH,PE-1N,256.0,DESPISTE,4.0,4.0,FRIDAY,0,0
CUSCO,PE-28B,,ESPECIAL,21.0,4.0,FRIDAY,1,0
AYACUCHO,PE-30A,200.0,DESPISTE,13.0,4.0,SATURDAY,0,0
UCAYALI,PE-18C,12.0,DESPISTE,7.0,4.0,SUNDAY,0,0
LIMA,PE-1N,108.0,DESPISTE,16.0,4.0,SUNDAY,0,0
LIMA,PE-1N,129.0,DESPISTE,14.0,4.0,SUNDAY,0,0
LIMA,PE-1N,186.0,ATROPELLO,22.0,4.0,MONDAY,1,1
LA LIBERTAD,PE-1N,585.0,CHOQUE,6.0,4.0,MONDAY,0,0
PUNO,PE-34H,53.0,CHOQUE,17.0,4.0,TUESDAY,0,0
APURIMAC,PE-30A,173.0,DESPISTE,8.0,4.0,TUESDAY,0,0
ICA,PE-1S,314.0,DESPISTE,11.0,4.0,TUESDAY,0,0
JUNIN,PE-3N,15.0,CHOQUE,23.0,4.0,WEDNESDAY,1,1
AREQUIPA,PE-34A,52.0,DESPISTE,14.0,4.0,WEDNESDAY,0,0
AREQUIPA,PE-34E,80.0,DESPISTE,9.0,4.0,WEDNESDAY,0,0
ANCASH,PE-1N,264.0,DESPISTE,19.0,4.0,WEDNESDAY,1,0
AYACUCHO,PE-28A,295.0,DESPISTE,5.0,4.0,WEDNESDAY,0,0
LIMA,PE-1S,67.0,DESPISTE,19.0,4.0,THURSDAY,1,0
PUNO,PE-34A,227.0,DESPISTE,4.0,4.0,THURSDAY,0,0
JUNIN,PE-3N,48.0,ATROPELLO,19.0,4.0,FRIDAY,1,0
PIURA,PE-1N,1084.0,DESPISTE,1.0,4.0,FRIDAY,0,0
JUNIN,PE-22B,48.0,DESPISTE,5.0,4.0,SATURDAY,0,0
LIMA,PE-1S,59.0,DESPISTE,21.0,4.0,SATURDAY,1,0
LIMA,PE-22,102.0,DESPISTE,17.0,4.0,SATURDAY,0,0
LIMA,PE-1S,117.0,DESPISTE,4.0,4.0,SATURDAY,0,0
LIMA,PE-1S,118.0,DESPISTE,5.0,4.0,SATURDAY,0,0
LA LIBERTAD,PE-1N,572.0,DESPISTE,12.0,4.0,SATURDAY,0,0
AREQUIPA,PE-1S,807.0,DESPISTE,0.0,4.0,SATURDAY,0,0
LIMA,PE-1S,28.0,DESPISTE,5.0,4.0,SUNDAY,0,0
JUNIN,PE-3S,57.0,VOLCADURA,4.0,4.0,SUNDAY,0,0
AREQUIPA,PE-1S,630.0,DESPISTE,16.0,4.0,SUNDAY,0,0
JUNIN,PE-3SA,539.0,DESPISTE,19.0,4.0,MONDAY,1,0
ICA,PE-30,9.0,DESPISTE,0.0,4.0,TUESDAY,0,0
CAJAMARCA,PE-3NB,71.0,DESPISTE,15.0,4.0,TUESDAY,0,0
ANCASH,PE-1N,371.0,DESPISTE,18.0,4.0,WEDNESDAY,1,0
ICA,PE-1S,458.0,ESPECIAL,20.0,4.0,WEDNESDAY,1,0
CUSCO,PE-3S,925.0,DESPISTE,13.0,4.0,WEDNESDAY,0,0
LIMA,PE-1S,29.0,DESPISTE,6.0,4.0,THURSDAY,0,0
CUSCO,PE-3S,913.0,DESPISTE,17.0,4.0,THURSDAY,0,1
CUSCO,PE-3S,934.0,DESPISTE,17.0,4.0,THURSDAY,0,0
LIMA,PE-22,58.0,DESPISTE,19.0,4.0,FRIDAY,1,0
PUNO,PE-3S,65.0,DESPISTE,22.0,4.0,FRIDAY,1,0
LIMA,PE-1S,153.0,CHOQUE,14.0,4.0,FRIDAY,0,1
ANCASH,PE-1N,247.0,CHOQUE,6.0,4.0,FRIDAY,0,0
ICA,PE-1S,450.0,DESPISTE,1.0,4.0,FRIDAY,0,0
AREQUIPA,PE-1S,603.0,DESPISTE,12.0,4.0,FRIDAY,0,0
AREQUIPA,PE-1S,620.0,DESPISTE,6.0,4.0,FRIDAY,0,0
LIMA,PE-1N,16.0,DESPISTE,9.0,4.0,SATURDAY,0,0
PIURA,PE-1N,76.0,DESPISTE,6.0,4.0,SATURDAY,0,0
ICA,PE-1S,183.0,DESPISTE,10.0,4.0,SATURDAY,0,0
ANCASH,PE-1N,386.0,ATROPELLO,5.0,4.0,SATURDAY,0,1
PUNO,PE-3S,,CHOQUE,17.0,4.0,SATURDAY,0,0
APURIMAC,PE-3S,837.0,DESPISTE,15.0,4.0,SUNDAY,0,0
JUNIN,PE-3S,20.0,DESPISTE,17.0,4.0,MONDAY,0,0
JUNIN,PE-22,138.0,DESPISTE,11.0,4.0,MONDAY,0,0
HUANUCO,PE-3N,250.0,CHOQUE,18.0,4.0,MONDAY,1,0
JUNIN,PE-22,0.0,DESPISTE,6.0,4.0,TUESDAY,0,0
LIMA,PE-1NA,16.0,DESPISTE,20.0,4.0,TUESDAY,1,0
LIMA,PE-1N,83.0,ESPECIAL,7.0,4.0,TUESDAY,0,0
LIMA,PE-22,100.0,CHOQUE,18.0,4.0,TUESDAY,1,0
MOQUEGUA,PE-36A,28.0,DESPISTE,5.0,4.0,WEDNESDAY,0,0
AMAZONAS,PE-5N,266.0,DESPISTE,5.0,4.0,WEDNESDAY,0,0
LIMA,PE-1N,16.0,DESPISTE,19.0,4.0,THURSDAY,1,0
LIMA,PE-1S,55.0,DESPISTE,6.0,4.0,THURSDAY,0,0
LIMA,PE-1N,76.0,DESPISTE,13.0,4.0,THURSDAY,0,0
LIMA,PE-22,114.0,DESPISTE,0.0,4.0,THURSDAY,0,0
LIMA,PE-1N,115.0,ESPECIAL,6.0,4.0,THURSDAY,0,0
HUANUCO,PE-3N,126.0,DESPISTE,16.0,4.0,THURSDAY,0,0
MOQUEGUA,PE-1S,1202.0,DESPISTE,7.0,4.0,THURSDAY,0,0
JUNIN,PE-3N,15.0,DESPISTE,2.0,5.0,FRIDAY,0,0
LIMA,PE-1N,215.0,ATROPELLO,5.0,5.0,FRIDAY,0,1
ICA,PE-1S,252.0,ATROPELLO,13.0,5.0,FRIDAY,0,1
SAN MARTIN,PE-5N,81.0,DESPISTE,22.0,5.0,SATURDAY,1,0
LIMA,PE-1S,93.0,DESPISTE,10.0,5.0,SATURDAY,0,0
ICA,PE-1S,175.0,DESPISTE,11.0,5.0,SATURDAY,0,0
LIMA,PE-1S,30.0,CHOQUE,1.0,5.0,SUNDAY,0,0
LIMA,PE-1NA,16.0,DESPISTE,4.0,5.0,MONDAY,0,0
JUNIN,PE-3SA,19.0,DESPISTE,20.0,5.0,MONDAY,1,0
LIMA,PE-1S,73.0,DESPISTE,7.0,5.0,MONDAY,0,0
ANCASH,PE-16,141.0,DESPISTE,17.0,5.0,MONDAY,0,0
MADRE DE DIOS,PE-30C,300.0,DESPISTE,20.0,5.0,MONDAY,1,0
MADRE DE DIOS,PE-30C,419.0,DESPISTE,15.0,5.0,MONDAY,0,0
PIURA,PE-1N,985.0,CHOQUE,7.0,5.0,MONDAY,0,1
CUSCO,PE-28B,104.0,DESPISTE,7.0,5.0,TUESDAY,0,0
LIMA,PE-22,105.0,DESPISTE,19.0,5.0,TUESDAY,1,0
ANCASH,PE-1N,235.0,CHOQUE,5.0,5.0,TUESDAY,0,0
LIMA,PE-1N,98.0,DESPISTE,7.0,5.0,WEDNESDAY,0,0
ANCASH,PE-12A,100.0,DESPISTE,21.0,5.0,WEDNESDAY,1,1
AREQUIPA,PE-1S,671.0,DESPISTE,12.0,5.0,WEDNESDAY,0,0
TACNA,PE-1S,1246.0,DESPISTE,7.0,5.0,WEDNESDAY,0,0
AREQUIPA,PE-34A,38.0,CHOQUE,14.0,5.0,THURSDAY,0,0
JUNIN,PE-3N,56.0,DESPISTE,17.0,5.0,THURSDAY,0,0
TUMBES,PE-1N,193.0,CHOQUE,7.0,5.0,THURSDAY,0,1
LA LIBERTAD,PE-08,34.0,DESPISTE,7.0,5.0,FRIDAY,0,0
PIURA,PE-1N,126.0,DESPISTE,18.0,5.0,FRIDAY,1,0
AYACUCHO,PE-3N,144.0,DESPISTE,11.0,5.0,FRIDAY,0,0
UCAYALI,PE-18C,17.0,CHOQUE,17.0,5.0,SATURDAY,0,0
JUNIN,PE-3S,62.0,DESPISTE,9.0,5.0,SATURDAY,0,1
ANCASH,PE-1N,274.0,VOLCADURA,23.0,5.0,SATURDAY,1,0
SAN MARTIN,PE-5N,585.0,DESPISTE,8.0,5.0,SATURDAY,0,0
APURIMAC,PE-3S,766.0,ATROPELLO,14.0,5.0,SATURDAY,0,0
MOQUEGUA,PE-36A,62.0,DESPISTE,2.0,5.0,SUNDAY,0,0
LIMA,PE-1N,108.0,DESPISTE,5.0,5.0,SUNDAY,0,0
ANCASH,PE-1N,403.0,ESPECIAL,20.0,5.0,SUNDAY,1,0
PIURA,PE-1N,42.0,DESPISTE,14.0,5.0,MONDAY,0,0
ICA,PE-1SJ,198.0,CHOQUE,7.0,5.0,MONDAY,0,0
APURIMAC,PE-3S,753.0,VOLCADURA,19.0,5.0,MONDAY,1,0
ANCASH,PE-3N,845.0,DESPISTE,20.0,5.0,MONDAY,1,0
LIMA,PE-1NA,20.0,DESPISTE,6.0,5.0,TUESDAY,0,0
JUNIN,PE-22B,46.0,DESPISTE,17.0,5.0,TUESDAY,0,0
JUNIN,PE-5S,55.0,DESPISTE,16.0,5.0,TUESDAY,0,1
AMAZONAS,PE-5N,220.0,CHOQUE,12.0,5.0,TUESDAY,0,0
AREQUIPA,PE-1S,578.0,DESPISTE,23.0,5.0,TUESDAY,1,0
PIURA,PE-1NL,1048.0,DESPISTE,5.0,5.0,TUESDAY,0,0
LIMA,PE-1S,73.0,CHOQUE,6.0,5.0,WEDNESDAY,0,1
AYACUCHO,PE-30A,102.0,DESPISTE,8.0,5.0,WEDNESDAY,0,0
APURIMAC,PE-30A,391.0,VOLCADURA,21.0,5.0,WEDNESDAY,1,0
AREQUIPA,PE-1S,569.0,DESPISTE,18.0,5.0,WEDNESDAY,1,0
APURIMAC,PE-3S,766.0,DESPISTE,17.0,5.0,WEDNESDAY,0,0
AREQUIPA,PE-1S,862.0,DESPISTE,10.0,5.0,WEDNESDAY,0,0
LIMA,PE-1N,111.0,CHOQUE,7.0,5.0,THURSDAY,0,1
LAMBAYEQUE,PE-06A,181.0,DESPISTE,12.0,5.0,THURSDAY,0,0
LA LIBERTAD,PE-1N,476.0,CHOQUE,1.0,5.0,THURSDAY,0,0
AREQUIPA,PE-1S,603.0,DESPISTE,13.0,5.0,THURSDAY,0,0
AREQUIPA,PE-1S,729.0,CHOQUE,19.0,5.0,THURSDAY,1,0
TACNA,PE-36A,30.0,DESPISTE,22.0,5.0,FRIDAY,1,0
JUNIN,PE-3S,31.0,DESPISTE,15.0,5.0,FRIDAY,0,0
LIMA,PE-1N,52.0,CHOQUE,9.0,5.0,FRIDAY,0,0
JUNIN,PE-22,70.0,DESPISTE,4.0,5.0,FRIDAY,0,0
ICA,PE-1S,275.0,CHOQUE,18.0,5.0,FRIDAY,1,1
JUNIN,PE-22,38.0,DESPISTE,9.0,5.0,SATURDAY,0,0
HUANUCO,PE-18A,49.0,DESPISTE,10.0,5.0,SATURDAY,0,0
JUNIN,PE-3N,47.0,DESPISTE,1.0,5.0,SUNDAY,0,0
JUNIN,PE-22B,65.0,DESPISTE,14.0,5.0,SUNDAY,0,0
PUNO,PE-34A,204.0,DESPISTE,16.0,5.0,SUNDAY,0,0
AREQUIPA,AR-115,3.0,DESPISTE,11.0,5.0,MONDAY,0,0
LIMA,PE-1S,50.0,DESPISTE,9.0,5.0,MONDAY,0,0
CAJAMARCA,PE-08,89.0,DESPISTE,4.0,5.0,TUESDAY,0,0
JUNIN,PE-3S,106.0,CHOQUE,18.0,5.0,TUESDAY,1,0
JUNIN,PE-5S,76.0,CHOQUE,6.0,5.0,WEDNESDAY,0,0
LIMA,PE-1S,149.0,CHOQUE,6.0,5.0,WEDNESDAY,0,0
ICA,PE-1S,184.0,DESPISTE,16.0,5.0,WEDNESDAY,0,0
MADRE DE DIOS,PE-30A,416.0,DESPISTE,4.0,5.0,WEDNESDAY,0,0
AREQUIPA,AR-109,3.0,DESPISTE,10.0,5.0,THURSDAY,0,0
LAMBAYEQUE,PE-1NJ,126.0,DESPISTE,5.0,5.0,THURSDAY,0,0
HUANCAVELICA,PE-3S,156.0,CHOQUE,11.0,5.0,THURSDAY,0,1
LIMA,PE-1N,169.0,DESPISTE,4.0,5.0,THURSDAY,0,0
PUNO,PE-30A,247.0,DESPISTE,9.0,5.0,THURSDAY,0,0
ANCASH,PE-1N,417.0,CHOQUE,7.0,5.0,THURSDAY,0,1
LIMA,PE-1S,68.0,DESPISTE,14.0,5.0,FRIDAY,0,0
LIMA,PE-1N,90.0,DESPISTE,6.0,5.0,FRIDAY,0,0
AREQUIPA,PE-34A,137.0,DESPISTE,6.0,5.0,FRIDAY,0,0
CUSCO,PE-28B,170.0,DESPISTE,21.0,5.0,FRIDAY,1,0
PIURA,PE-1N,3.0,CHOQUE,12.0,5.0,SATURDAY,0,0
LORETO,LO-103,14.0,ATROPELLO,17.0,5.0,SATURDAY,0,0
LA LIBERTAD,PE-08,32.0,ATROPELLO,4.0,5.0,SATURDAY,0,0
LIMA,PE-22,111.0,DESPISTE,11.0,5.0,SATURDAY,0,0
LIMA,PE-1N,192.0,DESPISTE,21.0,5.0,SATURDAY,1,0
AREQUIPA,PE-1S,776.0,DESPISTE,7.0,5.0,SATURDAY,0,0
PUNO,PE-3S,1352.0,CHOQUE,7.0,5.0,SATURDAY,0,0
LIMA,PE-22,107.0,CHOQUE,15.0,5.0,SUNDAY,0,0
JUNIN,PE-3N,135.0,DESPISTE,7.0,5.0,SUNDAY,0,0
AREQUIPA,PE-1S,770.0,CHOQUE,23.0,5.0,SUNDAY,1,0
PUNO,PE-3S,1289.0,DESPISTE,22.0,5.0,SUNDAY,1,0
LIMA,PE-1N,7.0,DESPISTE,3.0,5.0,MONDAY,0,0
LIMA,PE-1N,53.0,CHOQUE,7.0,5.0,MONDAY,0,0
LIMA,PE-22,96.0,DESPISTE,11.0,5.0,MONDAY,0,0
LIMA,PE-22,128.0,DESPISTE,8.0,5.0,MONDAY,0,0
AREQUIPA,PE-34A,151.0,DESPISTE,8.0,5.0,MONDAY,0,0
PUNO,PE-34A,187.0,DESPISTE,9.0,5.0,MONDAY,0,0
UCAYALI,PE-18C,8.0,CHOQUE,10.0,5.0,TUESDAY,0,0
LIMA,PE-1N,46.0,DESPISTE,10.0,5.0,TUESDAY,0,0
LIMA,PE-22,111.0,DESPISTE,7.0,5.0,TUESDAY,0,0
JUNIN,PE-22B,113.0,DESPISTE,7.0,5.0,TUESDAY,0,0
LIMA,PE-1S,133.0,CHOQUE,17.0,5.0,TUESDAY,0,1
ANCASH,PE-1N,301.0,DESPISTE,0.0,5.0,TUESDAY,0,0
ANCASH,PE-1N,336.0,DESPISTE,21.0,5.0,TUESDAY,1,1
SAN MARTIN,PE-5N,485.0,CHOQUE,6.0,5.0,TUESDAY,0,0
ICA,PE-1S,194.0,CHOQUE,7.0,5.0,WEDNESDAY,0,0
APURIMAC,PE-30A,282.0,DESPISTE,12.0,5.0,WEDNESDAY,0,0
ANCASH,PE-1N,371.0,ATROPELLO,23.0,5.0,WEDNESDAY,1,1
LA LIBERTAD,PE-1N,486.0,VOLCADURA,12.0,5.0,WEDNESDAY,0,0
AREQUIPA,PE-1S,777.0,DESPISTE,1.0,5.0,WEDNESDAY,0,0
HUANCAVELICA,HV-101,3.0,DESPISTE,14.0,5.0,THURSDAY,0,1
PUNO,PE-34H,6.0,CHOQUE,14.0,5.0,THURSDAY,0,1
LIMA,PE-1S,90.0,DESPISTE,11.0,5.0,THURSDAY,0,0
LIMA,PE-22,94.0,ESPECIAL,21.0,5.0,THURSDAY,1,0
HUANUCO,PE-3N,270.0,DESPISTE,4.0,5.0,THURSDAY,0,0
APURIMAC,PE-30A,432.0,DESPISTE,20.0,5.0,THURSDAY,1,1
LIMA,PE-1S,24.0,DESPISTE,4.0,5.0,FRIDAY,0,0
JUNIN,PE-3S,101.0,DESPISTE,12.0,5.0,FRIDAY,0,0
ANCASH,PE-1N,335.0,DESPISTE,17.0,5.0,FRIDAY,0,0
ANCASH,PE-1N,337.0,ESPECIAL,10.0,5.0,FRIDAY,0,0
LA LIBERTAD,PE-1N,600.0,ESPECIAL,18.0,5.0,FRIDAY,1,0
LA LIBERTAD,PE-1N,656.0,ATROPELLO,21.0,5.0,FRIDAY,1,1
CUSCO,PE-34G,10.0,CHOQUE,20.0,5.0,SATURDAY,1,0
PIURA,PE-1N,66.0,CHOQUE,10.0,5.0,SATURDAY,0,0
ANCASH,PE-14,113.0,DESPISTE,4.0,5.0,SATURDAY,0,0
JUNIN,PE-22,155.0,ATROPELLO,17.0,5.0,SATURDAY,0,0
LIMA,PE-1N,178.0,DESPISTE,23.0,5.0,SATURDAY,1,0
ICA,PE-1S,281.0,ATROPELLO,16.0,5.0,SATURDAY,0,0
ICA,PE-1S,434.0,DESPISTE,11.0,5.0,SATURDAY,0,0
MADRE DE DIOS,PE-30C,454.0,DESPISTE,20.0,5.0,SATURDAY,1,1
PUNO,PE-3S,,DESPISTE,15.0,5.0,SATURDAY,0,0
ANCASH,PE-1N,335.0,ESPECIAL,22.0,5.0,SUNDAY,1,0
APURIMAC,PE-30,370.0,DESPISTE,21.0,5.0,SUNDAY,1,0
AYACUCHO,PE-3S,411.0,DESPISTE,4.0,5.0,SUNDAY,0,1
SAN MARTIN,PE-5N,471.0,DESPISTE,18.0,5.0,SUNDAY,1,0
MOQUEGUA,PE-36A,55.0,DESPISTE,13.0,6.0,MONDAY,0,0
JUNIN,PE-22,141.0,CHOQUE,4.0,6.0,MONDAY,0,0
LIMA,PE-1S,153.0,DESPISTE,13.0,6.0,MONDAY,0,0
JUNIN,PE-3S,46.0,DESPISTE,17.0,6.0,TUESDAY,0,0
LAMBAYEQUE,PE-1NJ,150.0,DESPISTE,15.0,6.0,TUESDAY,0,0
ANCASH,PE-1N,237.0,DESPISTE,9.0,6.0,TUESDAY,0,0
APURIMAC,PE-30A,254.0,DESPISTE,16.0,6.0,TUESDAY,0,0
ANCASH,PE-1N,343.0,DESPISTE,11.0,6.0,TUESDAY,0,0
CUSCO,PE-3S,1083.0,CHOQUE,11.0,6.0,TUESDAY,0,0
LA LIBERTAD,PE-10A,18.0,DESPISTE,7.0,6.0,WEDNESDAY,0,0
PUNO,PE-34H,38.0,CHOQUE,20.0,6.0,WEDNESDAY,1,1
LAMBAYEQUE,PE-1NJ,40.0,CHOQUE,8.0,6.0,WEDNESDAY,0,0
UCAYALI,PE-18C,54.0,CHOQUE,6.0,6.0,WEDNESDAY,0,1
CAJAMARCA,PE-08,60.0,DESPISTE,21.0,6.0,WEDNESDAY,1,0
